　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　杀人回忆　　　　　　　　	   8.7    	  238409  	关于连环杀人悬案的集体回忆。
　　　　　　　怪兽电力公司　　　　　　　	   8.6    	  283677  	不要给它起名字，起了名字就有感情了。
　　　　　　　谍影重重3　　　　　　　　	   8.7    	  206339  	像吃了苏打饼一样干脆的电影。
　　　　　　　　　喜宴　　　　　　　　　	   8.8    	  160389  	中国家庭的喜怒哀乐忍。
　　　　　　　　电锯惊魂　　　　　　　　	   8.7    	  224824  	真相就在眼前。　　　
　　　　　　贫民窟的百万富翁　　　　　　	   8.5    	  434869  	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
　　　　　　　　东邪西毒　　　　　　　　	   8.6    	  289381  	电影诗。　　　　　　
　　　　　　　　真爱至上　　　　　　　　	   8.5    	  351044  	爱，是个动词。　　　
　　　　　　　　记忆碎片　　　　　　　　	   8.6    	  315533  	一个针管引发的血案。
　　　　　　　　黑天鹅　　　　　　　　　	   8.5    	  468093  	黑暗之美。　　　　　
　　　　　　　疯狂原始人　　　　　　　　	   8.7    	  419817  	老少皆宜，这就是好莱坞动画的魅力。
　　　　　　小森林 冬春篇　　　　　　　	   9.0    	  142585  	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
　　　　　　　　　雨人　　　　　　　　　	   8.6    	  230827  	生活在自己的世界里，也可以让周围的人显得可笑和渺小。
　　　　　请以你的名字呼唤我　　　　　　	   8.8    	  218793  	沉醉在电影的情感和视听氛围中无法自拔。
　　　哈利·波特与死亡圣器(下)　　　　	   8.7    	  315928  	10年的完美句点。　
　　　　　　　　　海洋　　　　　　　　　	   9.0    	  105975  	大海啊，不全是水。　
　　　　　　　　萤火之森　　　　　　　　	   8.8    	  190556  	触不到的恋人。　　　
　　　　　　　卢旺达饭店　　　　　　　　	   8.9    	  137464  	当这个世界闭上双眼，他却敞开了怀抱。
　　　　　　　　英雄本色　　　　　　　　	   8.6    	  201371  	英雄泪短，兄弟情长。 
　　　　　　　7号房的礼物　　　　　　　	   8.7    	  207706  	《我是山姆》的《美丽人生》。
　　　　　　　　心迷宫　　　　　　　　　	   8.7    	  212930  	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
　　　　　　　　虎口脱险　　　　　　　　	   8.9    	  118886  	永远看不腻的喜剧。　
　　　　　　　　荒蛮故事　　　　　　　　	   8.8    	  170216  	始于荒诞，止于更荒诞。
　　　　　　　傲慢与偏见　　　　　　　　	   8.5    	  346658  	爱是摈弃傲慢与偏见之后的曙光。
　　　　　　　　燃情岁月　　　　　　　　	   8.7    	  162035  	传奇，不是每个人都可以拥有。
　　　　　　　超能陆战队　　　　　　　　	   8.6    	  432556  	Balalala~~~
　　　　　　海边的曼彻斯特　　　　　　　	   8.6    	  234189  	我们都有权利不与自己的过去和解。
　　　　　蝙蝠侠：黑暗骑士崛起　　　　　	   8.6    	  334793  	诺兰就是保证。　　　
　　　　　　　唐伯虎点秋香　　　　　　　	   8.4    	  395573  	华太师是黄霑，吴镇宇四大才子之一。
　　　　　　　　教父3　　　　　　　　　	   8.8    	  151396  	任何信念的力量，都无法改变命运。
　　　　　　　　纵横四海　　　　　　　　	   8.7    	  172421  	香港浪漫主义警匪动作片的巅峰之作。
　　　　　　　时空恋旅人　　　　　　　　	   8.6    	  236994  	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
　　　　　　　玩具总动员3　　　　　　　	   8.8    	  217082  	跨度十五年的欢乐与泪水。
　　　　　　　完美的世界　　　　　　　　	   9.0    	  94160   	坏人的好总是比好人的好来得更感人。
　　　　　　　恋恋笔记本　　　　　　　　	   8.5    	  322367  	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
　　　　　　　　花样年华　　　　　　　　	   8.5    	  278648  	偷情本没有这样美。　
　　　　　　达拉斯买家俱乐部　　　　　　	   8.7    	  212193  	Jared Leto的腿比女人还美！
　　　　　　　　二十二　　　　　　　　　	   8.7    	  124274  	有一些东西不应该被遗忘。
　　　　　　　　无人知晓　　　　　　　　	   9.1    	  85641   	我的平常生活就是他人的幸福。
　　　　　　　　雨中曲　　　　　　　　　	   9.0    	  103553  	骨灰级歌舞片。　　　
　　　　　　　　魂断蓝桥　　　　　　　　	   8.8    	  142932  	中国式内在的美国电影。
　　　　　　　　猜火车　　　　　　　　　	   8.5    	  272187  	不可猜的青春迷笛。 
　　　　　　穿越时空的少女　　　　　　　	   8.6    	  206321  	爱上未来的你。 　　
　　　　　　　　我是山姆　　　　　　　　	   8.8    	  120029  	爱并不需要智商 。　
　　　　　　　血战钢锯岭　　　　　　　　	   8.7    	  371086  	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
